normalized_name,status,start_date,end_date,mise_a_jour,date_dernier_rapport,normalized_molecule_name,atc_code,atc_class_code,atc_class_name,manufacturer
"ACIDE ACETYLSALICYLIQUE MYLAN 100 mg , comprimé gastro-résistant",Tension,2021-02-18,2021-04-13,2021-05-17,2021-04-05,Acide acétylsalicylique,B01AC06,B,Sang et organes hématopoïétiques,Mylan
"ACIDE ACETYLSALICYLIQUE Panpharma 500 mg, poudre pour solution injectable",Rupture,2024-02-26,,2024-02-26,2024-05-07,Acide acétylsalicylique,B01AC06,B,Sang et organes hématopoïétiques,0
"ACIDES AMINES POUR LEUCINOSE DECOMPENSEE AP-HP, solution pour perfusion",Rupture,2020-09-18,,2021-04-19,2023-09-27,Acides aminés,B05BA01,B,Sang et organes hématopoïétiques,0
"ACLOTINE 100 UI/mL , poudre et solvant pour solution injectable, format 1000 UI",Tension,2020-05-11,2021-10-29,2021-08-05,2021-10-08,Antithrombine humaine,B01AB02,B,Sang et organes hématopoïétiques,LFB
"ACTILYSE 10, 20, 50 mg , poudre pour solution injectable et perfusion",Tension,2022-03-28,,2023-05-15,2024-04-23,Altéplase,B01AD02,B,Sang et organes hématopoïétiques,Boehringer Ingelheim
"ACTILYSE 2 mg, poudre pour solution injectable et perfusion",Tension,2022-03-25,2022-05-23,2022-03-25,2024-05-07,Altéplase,B01AD02,B,Sang et organes hématopoïétiques,Boehringer Ingelheim
"ACTILYSE 2 mg, poudre pour solution injectable et perfusion",Rupture,2022-05-23,,2023-09-19,2024-05-07,Altéplase,B01AD02,B,Sang et organes hématopoïétiques,Boehringer Ingelheim
"ACTONEL 35 mg, comprimé gastro-résistant ",Rupture,2022-06-14,,2022-06-14,2023-08-01,Risédronate monosodique,M05BA07,M,Système musculo-squelettique ,0
"ACTOSOLV 100 000 UI et 600 000 UI, poudre pour solution injectable / pour perfusion",Rupture,2021-12-07,,2022-08-09,2024-05-07,Urokinase,B01AD04,B,Sang et organes hématopoïétiques,Eumedica
"ACTOSOLV 600 000 UI, poudre pour solution injectable/pour perfusion",Rupture,2021-10-29,,2021-10-29,2021-12-05,Urokinase,B01AD04,B,Sang et organes hématopoïétiques,Urokinase
"ACUITEL 5 mg et 20 mg, comprimé enrobé sécable",Rupture,2022-04-29,,2022-04-29,2024-05-07,Chlorhydrate de quinapril,C09AA06,C,Système cardiovasculaire,0
"ADENOSCAN 30 mg/10 ml, solution pour perfusion",Rupture,2023-03-31,2023-09-01,2023-09-27,,Adénosine,C01EB10,C,Système cardiovasculaire,0
"ADENOSCAN 30 mg/10 ml, solution pour perfusion",Tension,2023-09-01,2023-10-06,2023-11-10,,Adénosine,C01EB10,C,Système cardiovasculaire,0
"ADENOSCAN 30 mg/10 ml, solution pour perfusion",Rupture,2023-10-06,2024-03-04,2024-05-07,,Adénosine,C01EB10,C,Système cardiovasculaire,0
"ADEPAL, comprimé enrobé",Tension,2022-07-22,,2023-08-01,,Éthinylestradiol/Levonorgestrel,G03AA07,G,Système génito-urinaire et hormones sexuelles,Pfizer
"AIROMIR Autohaler 100 microgrammes/dose, suspension pour inhalation en flacon pressurisé",Tension,2023-01-19,,2023-11-10,,Salbutamol,R03AC02,R,Système respiratoire,0
"AKYNZEO 300 mg/0,5 mg , gélule",Tension,2018-02-20,,2022-02-07,,Netupitant/Palonosetron,A04AA55,A,Voies digestives et métabolisme,Helsinn Healthcare SA
ALDARA 5% crème,Tension,2023-06-15,2024-03-22,2024-04-23,,Imiquimod,D06BB10,D,Produits dermatologiques,0
"ALDURAZYME 100 U/ml, solution à diluer pour perfusion ",Rupture,2022-07-21,2023-01-09,2023-03-24,,Laronidase,A16AB05,A,Voies digestives et métabolisme,Genzyme
"ALDURAZYME 100 U/ml, solution à diluer pour perfusion ",Tension,2023-10-20,2023-12-01,2023-12-05,,Laronidase,A16AB05,A,Voies digestives et métabolisme,Genzyme
"ALENDRONATE 10 mg, comprimé",Rupture,2020-10-08,2021-10-27,2021-10-27,,Acide alendronique,M05BA04,M,Système musculo-squelettique ,Teva
"ALFATIL 125 mg/5 ml et 250mg/5 ml, poudre pour suspension buvable",Tension,2022-12-27,2023-11-10,2023-11-10,,Céfaclor,J01DA08,J,Anti-infectieux à usage systémique,Ethypharm
"ALFATIL LP 500 mg, comprimé pelliculé à libération prolongée",Rupture,2022-12-27,2023-05-24,2023-05-24,,Céfaclor,J01DA08,J,Anti-infectieux à usage systémique,Ethypharm
"ALKERAN 50 mg/10 ml, lyophilisat et solution pour usage parentéral (I.V.)",Rupture,2020-08-14,2021-08-02,2021-08-09,,Melphalan (Chlorhydrate),L01AA03,L,Antinéoplasiques et immunomodulateurs,Aspen Pharma
"ALKONATREM   150 mg, gélule",Rupture,2020-09-28,,2021-04-26,2024-05-07,Chlorhydrate de déméclocycline,J01AA02,J,Anti-infectieux à usage systémique,0
"ALPROSTADIL Intsel Chimos 0,5 mg/ml, solution injectable",Tension,2022-06-13,2022-11-23,2022-11-23,2022-11-19,Alprostadil,C01EA01,C,Système cardiovasculaire,0
"ALPROSTADIL Intsel Chimos 0,5 mg/ml, solution injectable",Rupture,2022-11-23,,2022-11-23,2024-05-07,Alprostadil,C01EA01,C,Système cardiovasculaire,0
"ALVESCO 80 microgrammes/dose, solution pour inhalation en flacon pressuris",Tension,2023-03-27,2023-11-08,2023-11-08,2023-12-05,Ciclésonide,R01AD13,R,Système respiratoire,0
"ALYOSTAL VENIN D'ABEILLE APIS MELLIFERA 110 et 550 microgrammes, poudre et solvant pour solution injectable",Rupture,2020-09-15,,2024-01-31,2024-05-07,Abeille (venin d'),V01AA07,V,Divers,Stallergènes
"ALYOSTAL VENIN DE GUEPE POLISTES 110 et 550 microgrammes, poudre et solvant pour solution injectable",Rupture,2020-09-15,,2022-11-04,2024-05-07,Guêpe Polistes (venin de),V01AA07,V,Divers,Stallergènes
"ALYOSTAL VENIN DE GUEPE VESPULA 110 et 550 microgrammes, poudre et solvant pour solution injectable",Rupture,2021-02-23,2021-09-01,2021-09-21,2021-10-08,Guêpe Polistes (venin de),V01AA07,V,Divers,Stallergènes
"ALYOSTAL VENIN DE GUEPE VESPULA 110 et 550 microgrammes, poudre et solvant pour solution injectable",Rupture,2021-12-06,2024-01-26,2024-01-26,2024-01-28,Guêpe Polistes (venin de),V01AA07,V,Divers,Stallergènes
"ALYOSTAL VENIN DE GUEPE VESPULA 110 et 550 microgrammes, poudre et solvant pour solution injectable",Rupture,2024-01-31,,2024-01-31,2024-05-07,Guêpe Polistes (venin de),V01AA07,V,Divers,Stallergènes
"AMIFAMPRIDINE Serb 10 mg, comprimé ",Tension,2022-10-07,,2022-10-07,2024-05-07,Amifampridine (phosphate d'),N07XX05,N,Système nerveux,SERB
"AMIKACINE Viatris 50 mg/1 ml, solution injectable",Rupture,2024-02-02,,2024-02-02,2024-04-23,Amikacine (sulfate d'),J01GB06,J,Anti-infectieux à usage systémique,Viatris
"AMIKACINE Viatris 500 mg, poudre pour solution injectable",Tension,2023-03-24,2023-08-23,2023-08-23,2023-09-27,Amikacine (sulfate d'),J01GB06,J,Anti-infectieux à usage systémique,Viatris
"AMMONAPS 500 mg, comprimé",Tension,2021-04-01,2021-05-12,2021-04-01,2021-05-17,Phénylbutyrate de sodium,A16AX03,A,Voies digestives et métabolisme,Swedish Orphan Biovitrum
"AMOXICILLINE / ACIDE CLAVULANIQUE - Augmentin toutes formes orales, tous dosages",Tension,2022-11-18,,2024-01-16,2024-05-07,Amoxicilline / acide clavulanique,J01CR02,J,Anti-infectieux à usage systémique,0
"AMOXICILLINE / ACIDE CLAVULANIQUE Sandoz 500 mg/50 mg, 1 g/200 mg, 2 g/200 mg , poudre pour solution injectable/pour perfusion (I.V.)",Rupture,2022-03-28,2022-07-19,2022-07-19,2022-08-02,Amoxicilline / acide clavulanique,J01CR02,J,Anti-infectieux à usage systémique,Sandoz
"AMOXICILLINE Panpharma 1 g, poudre pour solution injectable - Amoxicilline Panpharma 2 g, poudre pour solution injectable",Tension,2021-02-10,2022-05-18,2022-06-28,2022-06-28,Amoxicilline,J01CA04,J,Anti-infectieux à usage systémique,Panpharma
"AMOXICILLINE Panpharma 2 g, poudre pour solution injectable",Tension,2022-08-23,2023-01-12,2023-01-12,2023-02-02,Amoxicilline,J01CA04,J,Anti-infectieux à usage systémique,Panpharma
"AMOXICILLINE-CLAMOXYL toutes formes orales, tous dosages",Tension,2022-11-18,,2024-01-16,2024-05-07,Amoxicilline,J01CA04,J,Anti-infectieux à usage systémique,0
"AMOXICILLINE/ACIDE clavulanique 100 mg/12,5 mg par mL nourrissons et enfants, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique : 8/1)",Tension,2022-08-12,2022-09-06,2022-09-06,2022-10-06,Amoxicilline / acide clavulanique,J01CR02,J,Anti-infectieux à usage systémique,0
"AMOXICILLINE/ACIDE clavulanique Sandoz 1 g/200 mg, poudre pour solution injectable/pour perfusion (I.V.)",Tension,2022-05-19,,2022-07-01,2022-11-19,Amoxicilline / acide clavulanique,J01CR02,J,Anti-infectieux à usage systémique,Sandoz
"ANAPEN 150 microgrammes 300 microgrammes et 500 microgrammes /0,3 ml, solution injectable en seringue préremplie",Tension,2023-10-03,,2023-10-03,2023-10-04,Adrénaline,C01CA24,C,Système cardiovasculaire,0
"ANAPEN 300 microgrammes et 500 microgrammes /0,3 ml, solution injectable en seringue préremplie",Tension,2023-05-18,,2023-05-18,2023-09-27,Adrénaline,C01CA24,C,Système cardiovasculaire,0
"ANCOTIL 1 pour cent, solution pour perfusion",Tension,2020-11-12,2022-05-17,2020-11-12,2022-05-01,Flucytosine,J02AX01,J,Anti-infectieux à usage systémique,0
"ANCOTIL 1 pour cent, solution pour perfusion",Rupture,2022-05-17,2022-10-19,2022-10-19,2022-06-28,Flucytosine,J02AX01,J,Anti-infectieux à usage systémique,0
"ANCOTIL 1 pour cent, solution pour perfusion",Arret,2022-10-19,,2022-10-19,2024-05-07,Flucytosine,J02AX01,J,Anti-infectieux à usage systémique,0
"ANCOTIL 500 mg, comprimé",Tension,2022-06-01,2022-07-06,2022-07-06,2022-08-02,Flucytosine,J02AX01,J,Anti-infectieux à usage systémique,0
"ANDROCUR 50 mg, comprimé sécable",Tension,2022-09-02,2023-06-13,2023-06-13,2023-07-22,Cyprotérone (acétate de),G03HA01,G,Système génito-urinaire et hormones sexuelles,0
"ANDROTARDYL 250 mg/1 ml, solution injectable intramusculaire",Tension,2023-07-07,,2024-05-07,2024-05-07,Testostérone (énantate de),G03BA03,G,Système génito-urinaire et hormones sexuelles,0
"ANGUSTA 25 microgrammes, comprimé ",Rupture,2022-06-30,2022-09-22,2022-09-22,2022-10-06,Misoprostol,A02BB01,A,Voies digestives et métabolisme,Norgine
"ANGUSTA 25 microgrammes, comprimé ",Tension,2023-10-25,2023-11-29,2023-11-29,2024-05-07,Misoprostol,A02BB01,A,Voies digestives et métabolisme,Norgine
"ANSATIPINE 150 mg, gélule",Rupture,2020-03-23,2024-04-12,2024-04-12,2023-08-01,Rifabutine,J04AB04,J,Anti-infectieux à usage systémique,SERB
"ANSATIPINE 150 mg, gélule",Tension,2024-04-12,,2024-04-12,2024-05-07,Rifabutine,J04AB04,J,Anti-infectieux à usage systémique,SERB
"ARIXTRA 2,5 mg/0,5 ml, solution injectable en seringue pré-remplie, boîte 10 seringues",Rupture,2022-05-10,,2022-05-10,2022-11-19,Fondaparinux,B01AX05,B,Sang et organes hématopoïétiques,0
"ARIXTRA 2,5 mg/0,5 ml, solution injectable en seringue pré-remplie, boîte 2 et 7 seringues",Tension,2023-03-20,2024-01-05,2024-01-05,2024-05-07,Fondaparinux,B01AX05,B,Sang et organes hématopoïétiques,0
"ARMISARTE 25 mg/ml, solution à diluer pour perfusion",Rupture,2022-06-07,2022-07-01,2022-08-30,2022-09-01,Pémétrexed,L01BA04,L,Antinéoplasiques et immunomodulateurs,0
"ARSENIC Trioxide Accord 1 mg /ml, solution à diluer pour perfusion",Rupture,2023-03-15,,2023-05-02,2024-05-07,Trioxyde d'arsenic,L01XX27,L,Antinéoplasiques et immunomodulateurs,Accord Healthcare
"ARSENIC Trioxide Mylan 1 mg /ml, solution à diluer pour perfusion",Tension,2023-02-17,,2023-02-17,2024-05-07,Trioxyde d'arsenic,L01XX27,L,Antinéoplasiques et immunomodulateurs,Mylan
"ARTANE 0,4%, solution buvable en goutte",Rupture,2023-07-20,2023-09-21,2023-09-21,2023-09-27,Chlorhydrate de trihexyphénidyle,N04AA01,N,Système nerveux,0
"ARTANE 0,4%, solution buvable en goutte",Tension,2023-09-21,2023-12-22,2023-12-22,2024-05-07,Chlorhydrate de trihexyphénidyle,N04AA01,N,Système nerveux,0
"ASPEGIC injectable 500 mg/5 ml, poudre et solution pour usage parentéral",Tension,2021-12-21,,2022-12-22,2024-05-07,Acétylsalicylate de lysine,B01AC06,B,Sang et organes hématopoïétiques,Opella
"ASPIRINE PROTECT 100 mg, comprimé gastro-résistant",Tension,2021-02-18,2021-04-13,2021-04-13,2021-05-17,Acide acétylsalicylique,B01AC06,B,Sang et organes hématopoïétiques,Bayer
"ATGAM 50 mg/mL, solution à diluer pour perfusion",Rupture,2023-07-05,2023-09-01,2023-09-01,2023-09-27,Immunoglobuline équine anti-lymphocyte T humain,L04AA04,L,Antinéoplasiques et immunomodulateurs,0
"ATRIANCE 5 mg/ml, solution pour perfusion",Tension,2023-09-06,2023-09-12,2023-09-12,2023-09-27,Nélarabine,L01BB07,L,Antinéoplasiques et immunomodulateurs,Sandoz
"ATRIANCE 5 mg/ml, solution pour perfusion",Rupture,2023-09-12,2023-11-02,2023-11-02,2023-11-10,Nélarabine,L01BB07,L,Antinéoplasiques et immunomodulateurs,Sandoz
"ATROPINE (sufate) Lavoisier 0,50 mg/ml et 1 mg/ml, solution injectable",Rupture,2022-06-09,,2022-06-09,2022-09-01,Sulfate d’atropine,A03BA01,A,Voies digestives et métabolisme,Lavoisier
"ATROVENT enfants 0,25 mg/2 ml, solution pour inhalation par nébuliseur en récipient unidose de 1 ml et de 2 ml – Boehringer Ingelheim France SAS",Tension,2022-03-15,,2022-03-15,2022-11-19,Ipratropium,R03BB01,R,Système respiratoire,Boehringer Ingelheim
"AUGMENTIN 100 mg/12,50 mg par ml nourissons, poudre pour suspension buvable en flacon",Tension,2022-06-13,,2022-06-13,2022-10-06,Amoxicilline / acide clavulanique,J01CR02,J,Anti-infectieux à usage systémique,0
"AUGMENTIN 500 mg/50 mg, poudre pour solution injectable/pour perfusion (IV)",Rupture,2022-07-19,,2022-07-19,2023-11-10,Amoxicilline / acide clavulanique,J01CR02,J,Anti-infectieux à usage systémique,GSK
"AVONEX 30 microgrammes/0,5 ml, solution injectable, en stylo prérempli",Tension,2022-06-17,2022-07-11,2022-07-11,2022-08-02,Interféron bêta-1a,L03AB07,L,Antinéoplasiques et immunomodulateurs,Biogen
AZACTAM 1g poudre et solution pour usage parentéral,Tension,2022-11-08,2023-02-14,2024-02-20,2023-02-02,Aztréonam,J01DF01,J,Anti-infectieux à usage systémique,BMS
"AZITHROMYCINE, toutes les formes et tous les dosages ",Tension,2022-12-29,,2022-12-29,2023-01-05,Azithromycine,J01FA10,J,Anti-infectieux à usage systémique,0
"B.A.L., solution injectable I.M.",Rupture,2022-05-31,2024-02-16,2024-02-16,2024-02-04,Butacaïne / dimercaprol,N01AX10,N,Système nerveux,0
"B.A.L., solution injectable I.M.",Tension,2024-02-16,,2024-02-16,2024-05-07,Butacaïne / dimercaprol,N01AX10,N,Système nerveux,0
"BACTRIM 40 mg/mL + 8 mg/mL, suspension buvable",Rupture,2023-07-12,2023-08-29,2023-08-29,2023-09-27,Sulfaméthoxazole / Triméthoprime,J01EE01,J,Anti-infectieux à usage systémique,Roche
"BAQSIMI 3 mg, poudre nasale en récipient unidose",Tension,2022-04-14,2024-04-15,2024-04-15,2024-03-01,Glucagon,H04AA01,H,Hormones systémiques sauf hormones sexuelles et insulines,0
"BAQSIMI 3 mg, poudre nasale en récipient unidose",Rupture,2024-04-15,,2024-04-15,2024-05-07,Glucagon,H04AA01,H,Hormones systémiques sauf hormones sexuelles et insulines,0
"BARACLUDE 1 mg, comprimé pelliculé",Tension,2021-08-30,2021-10-19,2021-10-19,2021-11-10,Entécavir,J05AF10,J,Anti-infectieux à usage systémique,Bristol-Myers Squibb
"BCG Medac, poudre et solvant pour suspension pour administration intra-vésicale",Tension,2021-02-02,2021-06-17,2021-06-17,2021-06-03,Bactérie BCG lyophilisée,L03AX03,L,Antinéoplasiques et immunomodulateurs,Medac
"BCG Medac, poudre et solvant pour suspension pour administration intra-vésicale",Rupture,2021-06-17,,2021-06-17,2021-12-05,Bactérie BCG lyophilisée,L03AX03,L,Antinéoplasiques et immunomodulateurs,Medac
"BCG Medac, poudre et solvant pour suspension pour administration intra-vésicale",Tension,2022-01-06,2022-02-14,2022-02-14,2022-02-07,Bactérie BCG lyophilisée,L03AX03,L,Antinéoplasiques et immunomodulateurs,Medac
"BCG Medac, poudre et solvant pour suspension pour administration intra-vésicale",Rupture,2022-11-28,2023-01-09,2023-01-09,2023-01-05,Bactérie BCG lyophilisée,L03AX03,L,Antinéoplasiques et immunomodulateurs,Medac
"BECLOMETASONE 200 µg/dose, poudre pour inhalation – 50 µg/doses, 100 µg/dose et 250 µg/dose, solution pour inhalation en flacon pressurisé – 400 µg/1 ml et 800 µg/2 ml, suspension pour inhalation par nébuliseur en récipient unidose",Tension,2023-02-10,,2023-08-29,2024-05-07,Béclométasone,R01AD01,R,Système respiratoire,0
"BECLOMETASONE 200 µg/dose, poudre pour inhalation, 250 µg/doses solution pour inhalation en flacon pressurisé, 400 µg/1 ml, suspension pour inhalation par nébuliseur en récipient unidose ",Tension,2022-11-28,,2023-01-12,2024-05-07,Béclométasone (dipropionate de) anhydre,R03BA01,R,Système respiratoire,0
"BECLOMETASONE 50 µg/dose, 100 µg/dose, solution pour inhalation en flacon pressurisé - Béclométasone 800 µg/2 ml, suspension pour inhalation par nébuliseur en récipient unidose",Rupture,2022-11-28,2023-01-31,2022-11-28,2023-02-02,Béclométasone (dipropionate de) anhydre,R03BA01,R,Système respiratoire,0
"BECLOMETASONE Teva et Beclospray, 50 microgrammes/dose, solutions pour inhalation en flacons pressurisés",Rupture,2022-11-18,,2022-11-18,2022-11-19,Béclométasone (dipropionate de) anhydre,R03BA01,R,Système respiratoire,0
"BECLOMETASONE Teva, Béclométasone Chiesi, Béclospin, 400 microgrammes/1 ml et 800 microgrammes/2ml, suspensions pour inhalation par nébuliseur – (béclométasone (dipropionate de) anhydre]",Tension,2022-11-18,,2022-11-18,2022-11-19,Béclométasone,R03BA01,R,Système respiratoire,"Teva, Chiesi"
"BELUSTINE 40 mg, gélule",Rupture,2019-08-29,,2021-07-28,2023-09-27,Lomustine,L01AD02,L,Antinéoplasiques et immunomodulateurs,0
"BENLYSTA 400 mg, poudre pour solution à diluer pour perfusion",Tension,2024-03-14,,2024-03-14,2024-04-23,Bélimumab,L04AA26,L,Antinéoplasiques et immunomodulateurs,0
"BENZOATE de Sodium AP-HP 1 g - 10 mL, solution à diluer pour perfusion",Tension,2022-01-19,2022-02-09,2022-02-09,2022-04-05,Benzoate de sodium,N/A,N,Système nerveux,AP-HP
"BETADINE dermique 10%, solution pour application locale",Tension,2023-04-03,2024-01-16,2024-01-16,2023-12-05,Povidone iodée,D08AG02,D,Produits dermatologiques,0
"BICARBONATE de sodium 1,4 %, solution pour perfusion, flacon en verre de 250 ml et de 500 ml",Tension,2023-06-01,,2023-06-01,2024-05-07,Sodium (bicarbonate de),"A12CA02, B05XA02",A,Voies digestives et métabolisme,0
"BICARBONATE de sodium Lavoisier 1,4 %, solution pour perfusion, Flacon de 500 ml et de 250 ml",Tension,2023-03-16,,2023-03-16,2023-05-01,Sodium (bicarbonate de),"A12CA02, B05XA02",A,Voies digestives et métabolisme,Lavoisier
"BLEOMYCINE BELLON 15 mg, poudre pour solution injectable",Tension,2020-01-07,2021-05-17,2020-01-07,2021-04-05,Bléomycine (sulfate de),L01DC01,L,Antinéoplasiques et immunomodulateurs,Bellon
"BLEOMYCINE BELLON 15 mg, poudre pour solution injectable",Rupture,2021-05-17,2022-10-10,2022-10-10,2022-10-06,Bléomycine (sulfate de),L01DC01,L,Antinéoplasiques et immunomodulateurs,Bellon
"BLEOMYCINE BELLON 15 mg, poudre pour solution injectable",Tension,2022-10-10,2024-03-04,2024-03-04,2024-03-01,Bléomycine (sulfate de),L01DC01,L,Antinéoplasiques et immunomodulateurs,Bellon
"BOTOX 50 unité Allergan, poudre pour solution injectable",Rupture,2022-06-17,2022-07-11,2022-07-11,2022-06-28,Toxine botulinique type A,M03AX01,M,Système musculo-squelettique ,Allergan
"BREVIBLOC 10 mg/ml, solution pour perfusion",Rupture,2021-06-30,2022-04-07,2022-04-07,2022-04-05,Esmolol (chlorhydrate d'),C07AB09,C,Système cardiovasculaire,Baxter
"BREVIBLOC 10 mg/ml, solution pour perfusion",Tension,2022-06-21,,2022-06-21,2022-10-06,Esmolol (chlorhydrate d'),C07AB09,C,Système cardiovasculaire,Baxter
"BREVIBLOC 100 mg/10 ml, solution injectable en flacon",Rupture,2022-08-18,2022-10-03,2022-10-11,2022-11-19,Esmolol (chlorhydrate d'),C07AB09,C,Système cardiovasculaire,Baxter
"BRICANYL 0,5 mg/1 ml, solution injectable en ampoule",Tension,2021-11-18,,2021-11-18,2023-08-01,Terbutaline,R03CC03,R,Système respiratoire,AstraZeneca
"BRIDION 100 mg/ml, solution injectable - Boîte de 10 flacons de 5 mL",Tension,2021-09-24,,2021-09-24,2023-09-27,Sugammadex,V03AB35,V,Divers,MSD
"BRINTELLIX 15 mg, comprimé pelliculé",Tension,2022-08-22,2022-10-18,2022-10-18,2022-10-06,Vortioxétine (bromhydrate de),N06AX26,N,Système nerveux,0
"CAELYX Pegylated Liposomal 2 mg/mL, solution à diluer pour perfusion",Tension,2022-05-02,,2022-05-02,2022-06-28,Doxorubicine,L01DB01,L,Antinéoplasiques et immunomodulateurs,Baxter
"CAELYX Pegylated Liposomal 2 mg/ml, solution à diluer pour perfusion - Flacon 10ml",Tension,2022-07-19,2023-01-06,2023-01-06,2023-01-05,Doxorubicine,L01DB01,L,Antinéoplasiques et immunomodulateurs,Baxter
"CAELYX Pegylated Liposomal 2 mg/ml, solution à diluer pour perfusion - Flacon 25ml",Rupture,2022-07-18,2023-03-28,2022-10-19,2023-03-01,Doxorubicine,L01DB01,L,Antinéoplasiques et immunomodulateurs,Baxter
"CALCIDIA 1,54 g, granulé pour suspension buvable en sachet-dose",Tension,2022-09-30,2024-03-21,2024-03-21,2024-03-01,Calcium (carbonate de),A12AA04,A,Voies digestives et métabolisme,0
"CAMZYOS 5 mg, gélule",Rupture,2024-03-14,,2024-03-14,2024-05-07,Mavacamten,C01EB25,C,Système cardiovasculaire,BMS
"CAPRELSA 100 mg et 300 mg, comprimé pelliculé",Tension,2022-06-16,,,2022-06-28,Vandétanib,L01EX04,L,Antinéoplasiques et immunomodulateurs,Genzyme
"CAPRELSA 100 mg, comprimé pelliculé",Tension,2022-07-07,2022-08-10,2022-07-07,2022-08-02,Vandétanib,L01EX04,L,Antinéoplasiques et immunomodulateurs,Genzyme
"CAPRELSA 100 mg, comprimé pelliculé",Rupture,2022-08-10,2022-10-10,2022-10-10,2022-10-06,Vandétanib,L01EX04,L,Antinéoplasiques et immunomodulateurs,Genzyme
"CAPRELSA 100 mg, comprimé pelliculé",Tension,2022-10-10,2022-12-12,2022-12-12,2022-11-19,Vandétanib,L01EX04,L,Antinéoplasiques et immunomodulateurs,Genzyme
"CAPTOPRIL Mylan 25 mg, comprimé quadrisécable",Rupture,2022-07-28,2022-11-24,2022-11-24,2022-11-19,Captopril,C09AA01,C,Système cardiovasculaire,Mylan
"CARBAMAZEPINE Sandoz L.P. 200 mg, comprimé pelliculé sécable à libération prolongée",Rupture,2023-10-31,,2023-10-31,2023-11-10,Carbamazépine,N03AF01,N,Système nerveux,Sandoz
"CARBAMAZEPINE Sandoz L.P. 400 mg, comprimé pelliculé sécable à libération prolongée",Rupture,2023-03-20,,2023-10-04,2023-11-10,Carbamazépine,N03AF01,N,Système nerveux,Sandoz
"CARBAMAZEPINE Viatris L.P. 200 mg, comprimé sécable à libération prolongée",Rupture,2023-11-03,,2023-11-03,2023-11-10,Carbamazépine,N03AF01,N,Système nerveux,Viatris
"CARBAMAZEPINE Viatris L.P. 400 mg, comprimé sécable à libération prolongée",Rupture,2023-03-20,2023-06-07,2023-03-20,2023-06-06,Carbamazépine,N03AF01,N,Système nerveux,Viatris
"CARBAMAZEPINE Viatris L.P. 400 mg, comprimé sécable à libération prolongée",Rupture,2023-07-31,2023-09-28,2023-07-31,2023-09-27,Carbamazépine,N03AF01,N,Système nerveux,Viatris
"CARBAMAZEPINE Viatris L.P. 400 mg, comprimé sécable à libération prolongée",Tension,2023-09-28,,2023-09-28,2023-11-10,Carbamazépine,N03AF01,N,Système nerveux,Viatris
"CATAPRESSAN 0,15 mg, comprimé sécable",Tension,2023-07-13,2023-11-02,2023-07-13,2023-10-04,Clonidine (chlorhydrate de),C02AC01,C,Système cardiovasculaire,0
"CEFEPIME Viatris 1g , poudre pour solution injectable",Tension,2023-08-22,2024-03-06,2023-08-22,2024-02-04,Céfépime (dichlorhydrate de) monohydraté,J01DE01,J,Anti-infectieux à usage systémique,Viatris
